Date,Price,Open,High,Low,Vol.,Change %
"Oct 21, 2010",129.62,129.87,130.04,129.39,1.04M,-0.25%
"Oct 20, 2010",129.95,130.39,130.45,129.81,973.23K,-0.22%
"Oct 19, 2010",130.23,130.43,130.72,129.92,1.08M,-0.25%
"Oct 18, 2010",130.56,130.69,130.75,130.37,676.86K,-0.12%
"Oct 15, 2010",130.72,131.11,131.29,130.34,1.00M,-0.55%
"Oct 14, 2010",131.44,131.66,131.84,130.98,796.84K,-0.10%
"Oct 13, 2010",131.57,131.36,131.7,131.21,820.03K,-0.33%
"Oct 12, 2010",132.01,131.75,132.36,131.38,1.02M,0.29%
"Oct 11, 2010",131.63,131.73,131.85,131.42,366.87K,-0.17%
"Oct 08, 2010",131.85,131.69,131.89,131.13,989.23K,0.16%
"Oct 07, 2010",131.64,131.81,131.89,131.39,909.72K,-0.29%
"Oct 06, 2010",132.02,131.45,132.1,131.34,984.46K,0.43%
"Oct 05, 2010",131.45,131.81,132.17,131.31,985.27K,-0.20%
"Oct 04, 2010",131.71,131.44,131.88,131.36,683.44K,0.30%
"Oct 01, 2010",131.31,131.54,131.57,130.63,1.12M,-0.09%
"Sep 30, 2010",131.43,131.9,132.2,130.97,1.43M,-0.29%
"Sep 29, 2010",131.81,131.79,132.03,131.46,952.08K,0.02%
"Sep 28, 2010",131.79,131.52,131.99,131.32,1.15M,0.21%
"Sep 27, 2010",131.51,130.83,131.67,130.8,796.23K,0.50%
"Sep 24, 2010",130.85,131.29,131.67,130.68,1.13M,-0.41%
"Sep 23, 2010",131.39,130.6,131.58,130.47,1.17M,0.49%
"Sep 22, 2010",130.75,130.33,130.99,130.29,1.18M,0.85%
"Sep 21, 2010",129.65,129.58,130.25,129.24,866.37K,0.20%
"Sep 20, 2010",129.39,129.84,129.87,129.27,681.80K,-0.29%
"Sep 17, 2010",129.77,129.37,130.21,129.08,1.11M,0.30%
"Sep 16, 2010",129.38,130,130.07,129.22,1.22M,-0.56%
"Sep 15, 2010",130.11,130.45,130.56,129.84,961.14K,-0.31%
"Sep 14, 2010",130.51,130.15,130.79,130.05,1.06M,0.45%
"Sep 13, 2010",129.92,130,130.21,129.53,823.19K,-0.10%
"Sep 10, 2010",130.05,130.77,130.89,129.97,866.68K,-0.56%
"Sep 09, 2010",130.78,131.42,131.69,130.46,1.03M,-1.99%
"Sep 08, 2010",133.44,133.25,133.65,133.04,45.36K,0.18%
"Sep 07, 2010",133.2,132.26,133.25,132.26,754.95K,0.79%
"Sep 06, 2010",132.16,131.9,132.4,131.86,838.82K,0.12%
"Sep 03, 2010",132,132.72,132.82,131.73,1.48M,-0.54%
"Sep 02, 2010",132.72,133.31,133.43,132.44,1.37M,-0.38%
"Sep 01, 2010",133.23,134.12,134.37,133.02,1.49M,-0.89%
"Aug 31, 2010",134.43,134.45,134.77,134.35,847.18K,0.18%
"Aug 30, 2010",134.19,133.48,134.44,133.48,472.92K,0.40%
"Aug 27, 2010",133.66,134.05,134.54,133.25,1.12M,-0.21%
"Aug 26, 2010",133.94,133.94,134.35,133.67,954.57K,-0.19%
"Aug 25, 2010",134.19,133.75,134.73,133.51,1.23M,0.22%
"Aug 24, 2010",133.9,132.9,134.26,132.83,1.02M,0.86%
"Aug 23, 2010",132.76,132.72,132.89,132.6,507.88K,-0.10%
"Aug 20, 2010",132.89,132.5,133.02,132.38,727.50K,0.33%
