Date,Price,Open,High,Low,Change%
"Oct 03, 2001",9.114,9.114,9.114,9.114,-0.98%
"Oct 01, 2001",9.204,9.204,9.204,9.204,0.90%
"Sep 29, 2001",9.122,9.122,9.122,9.122,0.07%
"Sep 28, 2001",9.116,9.116,9.116,9.116,-1.13%
"Sep 27, 2001",9.22,9.22,9.22,9.22,-0.88%
"Sep 26, 2001",9.302,9.302,9.302,9.302,-0.15%
"Sep 25, 2001",9.316,9.316,9.316,9.316,-0.27%
"Sep 24, 2001",9.341,9.341,9.341,9.341,-1.34%
"Sep 22, 2001",9.468,9.468,9.468,9.468,-2.53%
"Sep 21, 2001",9.714,9.714,9.714,9.714,2.05%
"Sep 20, 2001",9.519,9.519,9.519,9.519,1.51%
"Sep 19, 2001",9.377,9.377,9.377,9.377,-0.69%
"Sep 18, 2001",9.442,9.442,9.442,9.442,-1.93%
"Sep 17, 2001",9.628,9.628,9.628,9.628,-2.01%
"Sep 15, 2001",9.825,9.825,9.825,9.825,3.81%
"Sep 14, 2001",9.464,9.464,9.464,9.464,2.36%
"Sep 13, 2001",9.246,9.246,9.246,9.246,0.73%
"Sep 12, 2001",9.179,9.179,9.179,9.179,0.56%
"Sep 11, 2001",9.128,9.128,9.128,9.128,-0.58%
"Sep 10, 2001",9.181,9.181,9.181,9.181,0.17%
"Sep 08, 2001",9.165,9.165,9.165,9.165,-0.11%
"Sep 07, 2001",9.175,9.175,9.175,9.175,0.43%
"Sep 06, 2001",9.136,9.136,9.136,9.136,0.07%
"Sep 05, 2001",9.13,9.13,9.13,9.13,0.35%
"Sep 04, 2001",9.098,9.098,9.098,9.098,-0.24%
"Sep 03, 2001",9.12,9.12,9.12,9.12,-0.27%
"Sep 01, 2001",9.145,9.145,9.145,9.145,0.34%
"Aug 31, 2001",9.114,9.114,9.114,9.114,0.13%
"Aug 30, 2001",9.102,9.102,9.102,9.102,0.00%
"Aug 29, 2001",9.102,9.102,9.102,9.102,0.35%
"Aug 28, 2001",9.07,9.07,9.07,9.07,-0.09%
"Aug 27, 2001",9.078,9.078,9.078,9.078,0.15%
"Aug 25, 2001",9.064,9.064,9.064,9.064,-0.25%
"Aug 24, 2001",9.087,9.087,9.087,9.087,-0.79%
"Aug 23, 2001",9.159,9.159,9.159,9.159,-0.33%
"Aug 20, 2001",9.189,9.189,9.189,9.189,-0.10%
"Aug 18, 2001",9.198,9.198,9.198,9.198,-0.26%
"Aug 17, 2001",9.222,9.222,9.222,9.222,-0.31%
"Aug 16, 2001",9.251,9.251,9.251,9.251,0.00%
"Aug 14, 2001",9.251,9.251,9.251,9.251,0.05%
"Aug 13, 2001",9.246,9.246,9.246,9.246,0.04%
"Aug 11, 2001",9.242,9.242,9.242,9.242,-0.27%
"Aug 10, 2001",9.267,9.267,9.267,9.267,-0.45%
"Aug 09, 2001",9.309,9.309,9.309,9.309,-0.23%
"Aug 08, 2001",9.33,9.33,9.33,9.33,0.16%
"Aug 07, 2001",9.315,9.315,9.315,9.315,0.12%
"Aug 06, 2001",9.304,9.304,9.304,9.304,-0.26%
"Aug 04, 2001",9.328,9.328,9.328,9.328,-0.21%
"Aug 03, 2001",9.348,9.348,9.348,9.348,-0.09%
"Aug 02, 2001",9.356,9.356,9.356,9.356,-0.02%
"Aug 01, 2001",9.358,9.358,9.358,9.358,-0.05%
"Jul 31, 2001",9.363,9.363,9.363,9.363,0.34%
"Jul 30, 2001",9.331,9.331,9.331,9.331,0.00%
"Jul 28, 2001",9.331,9.331,9.331,9.331,-0.07%
"Jul 27, 2001",9.338,9.338,9.338,9.338,0.08%
"Jul 26, 2001",9.331,9.331,9.331,9.331,-0.24%
"Jul 25, 2001",9.353,9.353,9.353,9.353,0.39%
"Jul 24, 2001",9.317,9.317,9.317,9.317,-0.30%
"Jul 23, 2001",9.345,9.345,9.345,9.345,0.07%
"Jul 21, 2001",9.338,9.338,9.338,9.338,-0.05%
"Jul 20, 2001",9.343,9.343,9.343,9.343,-0.31%
"Jul 19, 2001",9.372,9.372,9.372,9.372,-0.51%
"Jul 18, 2001",9.42,9.42,9.42,9.42,-0.29%
"Jul 17, 2001",9.447,9.447,9.447,9.447,0.07%
"Jul 16, 2001",9.44,9.44,9.44,9.44,0.48%
"Jul 14, 2001",9.395,9.395,9.395,9.395,-0.93%
"Jul 13, 2001",9.483,9.483,9.483,9.483,0.30%
"Jul 12, 2001",9.455,9.455,9.455,9.455,2.13%
"Jul 11, 2001",9.258,9.258,9.258,9.258,-0.76%
"Jul 10, 2001",9.329,9.329,9.329,9.329,-0.60%
"Jul 09, 2001",9.385,9.385,9.385,9.385,-0.09%
"Jul 07, 2001",9.393,9.393,9.393,9.393,-0.15%
"Jul 06, 2001",9.407,9.407,9.407,9.407,-0.33%
"Jul 05, 2001",9.438,9.438,9.438,9.438,-0.68%
"Jul 04, 2001",9.503,9.503,9.503,9.503,-0.57%
"Jul 03, 2001",9.557,9.557,9.557,9.557,0.15%
"Jul 02, 2001",9.543,9.543,9.543,9.543,0.44%
"Jun 30, 2001",9.501,9.501,9.501,9.501,-0.22%
"Jun 29, 2001",9.522,9.522,9.522,9.522,0.11%
"Jun 28, 2001",9.512,9.512,9.512,9.512,-0.14%
"Jun 27, 2001",9.525,9.525,9.525,9.525,0.17%
"Jun 26, 2001",9.509,9.509,9.509,9.509,-0.68%
"Jun 25, 2001",9.574,9.574,9.574,9.574,-0.41%
"Jun 23, 2001",9.613,9.613,9.613,9.613,-0.20%
"Jun 22, 2001",9.632,9.632,9.632,9.632,0.08%
"Jun 21, 2001",9.624,9.624,9.624,9.624,-0.15%
"Jun 20, 2001",9.638,9.638,9.638,9.638,-0.32%
"Jun 19, 2001",9.669,9.669,9.669,9.669,-0.55%
"Jun 18, 2001",9.722,9.722,9.722,9.722,-0.30%
