Date,Price,Open,High,Low,Vol.,Change %
"Oct 28, 2008",112.42,112.13,112.81,111.76,84.58K,-0.15%
"Oct 27, 2008",112.59,112.86,113.04,112.34,48.44K,-0.16%
"Oct 24, 2008",112.77,112.68,113.19,112.43,92.28K,0.79%
"Oct 23, 2008",111.89,111.73,112.28,111.62,101.64K,0.04%
"Oct 22, 2008",111.85,111.22,111.9,111.02,91.16K,1.08%
"Oct 21, 2008",110.65,110.73,111.06,110.58,87.97K,-0.07%
"Oct 20, 2008",110.73,110,110.81,109.77,62.49K,0.39%
"Oct 17, 2008",110.3,109.47,110.86,109.46,79.25K,0.36%
"Oct 16, 2008",109.9,110.2,110.35,109.2,89.81K,-0.04%
"Oct 15, 2008",109.94,109.65,110.31,109.51,76.42K,0.35%
"Oct 14, 2008",109.56,109.99,110.36,109.38,68.59K,-0.55%
"Oct 13, 2008",110.17,111.01,111.01,109.87,81.90K,-1.50%
"Oct 10, 2008",111.85,112.94,113.47,111.47,117.67K,-0.79%
"Oct 09, 2008",112.74,113.12,113.36,112.43,87.36K,-0.57%
"Oct 08, 2008",113.39,114.13,114.28,113,113.89K,-0.44%
"Oct 07, 2008",113.89,113.88,114.22,113.37,104.88K,-0.18%
"Oct 06, 2008",114.09,113.49,114.22,113.23,79.22K,1.40%
"Oct 03, 2008",112.51,112.76,113.89,112.32,119.87K,-0.23%
"Oct 02, 2008",112.77,112.11,112.9,112.05,76.46K,0.39%
"Oct 01, 2008",112.33,112.12,112.52,111.88,118.40K,0.16%
"Sep 30, 2008",112.15,112.9,113.01,111.99,89.74K,-0.49%
"Sep 29, 2008",112.7,111.46,112.78,111.29,63.62K,3.32%
"Sep 24, 2008",109.08,108.47,109.11,108.47,0.77K,0.65%
"Sep 23, 2008",108.38,108.25,108.67,108.25,0.21K,0.24%
"Sep 22, 2008",108.12,108.39,108.39,108.12,0.13K,-0.65%
"Sep 19, 2008",108.83,109.36,109.38,108.8,0.12K,-1.31%
"Sep 18, 2008",110.27,110.49,110.49,109.96,17.48K,0.03%
"Sep 17, 2008",110.24,109.93,110.24,109.85,0.65K,0.16%
"Sep 16, 2008",110.06,110.36,110.9,110.06,0.11K,0.34%
"Sep 15, 2008",109.69,110.12,110.29,109.69,0.25K,0.94%
"Sep 12, 2008",108.67,109.44,109.47,108.67,0.98K,-1.02%
"Sep 11, 2008",109.79,109.72,110.05,109.65,2.26K,-0.01%
"Sep 10, 2008",109.8,109.65,109.99,109.55,0.74K,-0.12%
"Sep 09, 2008",109.93,109.67,109.93,109.33,0.41K,0.37%
"Sep 08, 2008",109.53,109.46,109.63,109.36,1.54K,-0.72%
"Sep 05, 2008",110.32,109.91,110.56,109.91,1.26K,0.47%
"Sep 04, 2008",109.8,109.27,109.86,109.17,1.03K,0.27%
"Sep 03, 2008",109.5,109.77,109.88,109.36,4.22K,0.04%
"Sep 02, 2008",109.46,109.55,109.71,109,7.47K,-0.26%
"Sep 01, 2008",109.74,109.81,109.86,109.48,11.32K,0.18%
"Aug 29, 2008",109.54,109.75,109.79,109.28,18.42K,0.04%
"Aug 28, 2008",109.5,109.75,109.83,109.36,46.29K,0.11%
"Aug 27, 2008",109.38,109.85,109.92,109.18,271.11K,-0.38%
"Aug 26, 2008",109.8,109.7,110.01,109.54,324.72K,0.76%
"Aug 25, 2008",108.97,109.22,109.49,108.74,81.76K,0.00%
"Aug 22, 2008",108.97,109.22,109.49,108.74,81.76K,-0.27%
"Aug 21, 2008",109.26,109.33,109.71,109.09,69.61K,-0.04%
"Aug 20, 2008",109.3,108.92,109.66,108.81,66.82K,0.19%
"Aug 19, 2008",109.09,109.17,109.45,109.02,53.52K,0.04%
"Aug 18, 2008",109.05,109.13,109.38,108.96,56.07K,-0.10%
"Aug 15, 2008",109.16,108.91,109.32,108.85,98.10K,0.40%
"Aug 14, 2008",108.72,108.98,109.02,108.39,89.30K,-0.24%
"Aug 13, 2008",108.98,108.69,109.48,108.38,93.67K,0.27%
"Aug 12, 2008",108.69,108.34,108.76,108.14,73.93K,0.50%
"Aug 11, 2008",108.15,108.37,108.37,107.98,44.40K,-0.21%
"Aug 08, 2008",108.38,108.41,108.6,108.2,72.13K,0.04%
"Aug 07, 2008",108.34,107.94,108.58,107.79,78.70K,0.38%
"Aug 06, 2008",107.93,107.79,108.15,107.72,81.89K,0.17%
"Aug 05, 2008",107.75,107.27,107.89,107.27,95.84K,0.30%
"Aug 04, 2008",107.43,107.21,107.53,107.05,61.51K,0.29%
"Aug 01, 2008",107.12,107.46,107.54,106.98,80.64K,-0.22%
"Jul 31, 2008",107.36,107.01,107.47,106.77,109.12K,0.30%
"Jul 30, 2008",107.04,106.5,107.17,106.5,74.64K,0.39%
"Jul 29, 2008",106.62,106.37,106.68,105.84,116.46K,0.33%
"Jul 28, 2008",106.27,106.01,106.35,105.98,50.14K,0.25%
"Jul 25, 2008",106,106.25,106.64,105.75,74.58K,-0.02%
"Jul 24, 2008",106.02,105.56,106.09,105.56,86.44K,0.54%
"Jul 23, 2008",105.45,105.42,105.49,105.12,78.58K,-0.30%
"Jul 22, 2008",105.77,105.56,105.93,105.49,61.95K,0.41%
"Jul 21, 2008",105.34,105.52,105.84,105.28,53.29K,-0.10%
"Jul 18, 2008",105.45,106.13,106.23,105.3,112.00K,-0.95%
"Jul 17, 2008",106.46,106.42,106.73,106.18,98.75K,-0.13%
"Jul 16, 2008",106.6,106.62,107.09,106.51,66.84K,-0.06%
"Jul 15, 2008",106.66,106.53,107.08,106.33,84.22K,0.30%
"Jul 14, 2008",106.34,106.21,106.48,105.99,53.31K,0.00%
"Jul 11, 2008",106.34,106.37,106.8,106.22,71.91K,-0.18%
"Jul 10, 2008",106.53,106.45,106.68,106.29,81.10K,0.17%
"Jul 09, 2008",106.35,106.12,106.45,105.75,69.35K,0.18%
"Jul 08, 2008",106.16,106.26,106.35,105.81,106.79K,0.09%
"Jul 07, 2008",106.06,105.76,106.22,105.62,63.66K,0.36%
"Jul 04, 2008",105.68,105.35,106.1,105.24,34.31K,0.49%
"Jul 03, 2008",105.16,104.55,105.53,104.33,88.48K,0.70%
"Jul 02, 2008",104.43,104.14,104.68,103.94,109.86K,0.15%
"Jul 01, 2008",104.27,104.36,105.13,104.19,93.93K,-0.11%
"Jun 30, 2008",104.39,104.98,105.08,104.01,82.84K,-0.65%
"Jun 27, 2008",105.07,105.25,105.39,104.65,90.71K,0.49%
"Jun 26, 2008",104.56,104.69,104.7,104.56,1.59K,-0.01%
"Jun 25, 2008",104.57,104.36,104.62,104.36,0.08K,0.23%
"Jun 24, 2008",104.33,104.04,104.34,104.04,0.43K,-0.15%
"Jun 23, 2008",104.49,104.44,104.67,104.36,11.20K,0.15%
"Jun 20, 2008",104.33,103.89,104.33,103.84,1.07K,0.66%
"Jun 19, 2008",103.65,103.97,104.16,103.65,3.23K,-0.62%
"Jun 18, 2008",104.3,104.36,104.42,104.23,1.18K,-0.02%
"Jun 17, 2008",104.32,104.17,104.39,104.14,0.47K,0.37%
"Jun 16, 2008",103.94,103.93,104.12,103.93,1.91K,0.34%
"Jun 13, 2008",103.59,103.8,103.81,103.59,0.11K,-0.78%
"Jun 12, 2008",104.4,104.4,104.45,104.29,0.01K,-0.20%
"Jun 11, 2008",104.61,104.65,104.89,104.56,0.56K,-0.04%
"Jun 10, 2008",104.65,104.37,104.65,104.19,0.65K,0.07%
"Jun 09, 2008",104.58,106.49,106.56,104.48,2.73K,-1.07%
"Jun 06, 2008",105.71,105.34,105.9,105.34,2.85K,0.28%
